0,1,2,3,4,5,6,7,8,9,10
68,52,35,102,86,85,84,83,82,81,80
27,59,108,90,52,102,89,88,62,14,10
5,60,108,105,63,86,85,84,83,82,81
75,90,47,11,22,29,6,44,4,34,45
47,11,57,43,53,46,90,3,6,44,36
2,66,42,61,71,106,107,114,80,76,79
78,47,11,39,3,90,4,63,44,43,93
74,10,73,82,94,117,17,87,97,79,80
11,47,35,12,3,54,34,4,6,44,90
62,16,58,10,101,19,93,52,83,33,66
50,80,9,73,7,14,97,19,94,117,87
47,4,57,43,53,3,90,6,46,36,45
54,70,33,19,91,8,17,15,85,72,3
23,37,94,87,0,86,85,84,83,82,81
63,85,10,108,35,72,50,109,53,114,84
19,45,12,18,85,59,109,72,68,54,58
112,77,101,33,62,9,106,26,94,65,43
118,12,87,73,10,7,30,86,94,117,90
97,106,32,99,109,79,15,88,34,105,14
70,12,33,15,10,9,62,105,76,98,81
113,74,107,71,59,98,64,34,1,15,52
79,103,106,86,85,84,83,82,81,80,78
33,3,47,103,11,63,45,4,90,6,44
119,13,67,65,88,100,93,101,14,52,102
101,118,84,44,111,106,59,82,47,89,67
56,12,18,88,67,84,0,79,80,83,82
112,16,34,77,45,8,115,54,116,90,4
1,59,72,44,108,95,52,73,87,82,58
44,3,89,47,4,6,34,118,75,50,109
3,50,89,81,116,115,114,112,26,12,37
118,94,17,4,115,56,9,26,95,106,68
0,87,86,85,84,83,82,81,80,79,78
94,99,18,61,97,67,86,85,84,63,83
22,103,70,12,54,19,16,106,119,74,101
55,3,45,44,26,8,113,18,89,46,47
0,8,114,14,68,52,102,110,62,112,106
57,47,11,105,3,6,4,44,90,45,8
13,87,77,94,116,115,112,26,95,50,43
117,115,70,64,105,82,101,108,58,27,67
40,6,63,0,86,85,84,83,82,81,80
39,100,89,117,98,85,84,83,82,81,80
65,66,83,113,0,86,85,84,82,81,80
64,76,5,71,54,80,59,33,12,104,36
47,77,11,4,57,46,53,6,45,16,3
73,82,87,47,27,89,3,6,28,118,34
34,47,11,3,109,15,43,6,46,4,90
57,47,4,11,43,100,45,90,93,76,77
11,4,57,43,53,46,3,6,44,90,36
90,104,51,76,22,109,102,113,49,45,98
76,50,53,111,48,1,52,114,113,12,59
29,10,79,14,53,44,49,26,112,115,114
48,0,86,85,84,83,82,81,80,79,78
0,1,102,79,68,27,35,9,96,23,12
47,4,11,43,50,14,96,49,76,79,0
12,85,33,101,72,8,26,42,58,77,10
34,81,111,107,0,85,84,83,82,80,79
95,79,10,25,12,101,4,86,9,33,89
47,46,11,4,36,93,43,100,90,3,81
62,9,59,104,67,89,54,115,26,93,111
1,27,64,58,74,67,104,20,42,111,11
2,63,11,47,105,3,90,57,45,4,6
102,32,5,94,110,65,86,85,84,83,82
9,16,58,96,101,88,19,33,1,10,26
60,109,39,14,6,22,105,33,71,87,64
42,59,38,117,44,20,110,23,74,115,47
23,16,41,113,95,101,9,119,109,62,33
5,107,41,93,9,44,36,90,19,71,98
23,101,110,104,88,97,58,59,118,81,111
0,100,80,52,109,118,35,102,15,111,75
0,87,86,85,84,83,82,81,80,79,78
12,19,33,82,105,38,76,81,84,80,85
109,42,20,90,93,5,80,76,66,79,82
85,95,27,77,78,54,14,94,106,12,15
44,87,10,7,82,94,108,17,117,27,111
7,107,20,82,59,33,101,64,1,115,102
3,90,104,44,102,88,62,89,47,68,1
42,57,108,3,49,70,46,88,48,100,53
43,112,16,72,37,86,45,47,11,114,26
6,72,94,95,97,0,85,84,83,82,81
21,50,52,106,18,56,97,33,81,82,78
68,10,6,95,89,42,71,44,99,43,102
55,57,3,12,19,36,29,93,70,106,107
44,103,70,74,7,73,105,38,87,118,27
41,9,12,0,87,86,85,84,82,81,80
108,14,24,76,95,18,88,106,25,80,33
72,54,14,12,15,77,78,79,81,82,83
77,118,90,101,17,56,0,85,84,83,82
112,44,73,37,94,108,13,17,10,27,77
102,23,67,62,1,18,76,14,75,84,25
44,40,94,47,1,80,3,98,58,119,34
3,11,4,47,75,1,57,6,118,93,46
94,12,119,16,89,110,111,106,84,83,82
0,86,85,84,83,82,81,80,79,78,77
57,100,90,6,46,11,23,47,66,71,9
32,91,87,37,119,16,78,7,30,10,73
72,27,56,78,80,26,94,10,65,116,4
3,62,53,11,52,9,57,47,22,89,6
18,10,94,105,67,117,78,79,32,14,106
3,40,104,89,19,44,20,114,10,22,113
32,18,6,93,94,102,43,80,97,79,0
57,68,40,118,93,117,46,23,111,76,115
16,67,54,62,9,33,24,74,106,59,23
0,61,88,52,6,68,1,118,44,75,35
21,33,82,106,22,87,86,85,84,83,81
75,58,119,113,111,67,98,59,76,48,106
2,70,36,38,108,82,63,97,115,19,60
103,18,16,21,79,33,72,94,101,22,97
74,115,66,20,101,105,5,111,81,102,55
1,27,2,84,110,76,14,87,105,73,90
63,45,90,71,68,44,18,114,14,26,15
108,67,94,91,102,64,35,87,62,16,14
104,118,100,59,94,73,24,107,91,68,67
77,16,87,26,116,115,37,50,14,110,95
20,104,34,65,41,98,76,48,106,12,42
3,35,77,109,50,44,14,26,22,90,9
38,107,116,26,37,11,112,50,105,29,64
115,26,112,37,50,95,43,87,29,77,78
38,100,47,11,3,40,10,44,90,73,4
17,30,100,90,44,86,111,68,67,82,102
23,94,33,104,91,65,16,14,89,110,97
