0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.41,1.41,1.41,1.41,1.41,1.41,1.28,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.39,1.41,1.41,1.41,1.41,1.41,1.38,1.41,1.41,1.41,1.41,1.35,1.41,1.41,1.41,1.41,1.35,1.41,1.41,1.41,1.39,1.41,1.41,1.41,1.41,1.41,1.39,1.41,1.41,1.30
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.32,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.21,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.32,1.41,1.41,1.41
1.41,1.33,1.34,1.41,1.41,1.41,1.41,1.41,1.41,1.38,1.25,1.41,1.35,1.21,1.41,1.41,1.13,1.41,1.41,1.41,1.38,1.41,1.41,1.41,1.29,1.41,1.41,1.03,1.39,0.97
1.41,1.38,1.36,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.37,1.38,1.41,1.41,1.38,1.41,1.41,1.35,1.39,1.41,1.41,1.38,1.37,1.41,1.41,1.34,1.35,1.31
1.41,1.37,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.35,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,1.38,1.36,1.41,1.41,1.41,1.41,1.41,1.41,1.34,1.41,1.41,1.36,1.38,1.41,1.41,1.38,1.41,1.41,1.41,1.39,1.41,1.41,1.41,1.37,1.41,1.41,1.34,1.39,1.31
1.41,1.41,1.41,1.41,1.41,1.34,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.35,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,1.39,1.37,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.37,1.38,1.41,1.41,1.38,1.41,1.41,1.41,1.40,1.41,1.41,1.41,1.33,1.41,1.41,1.35,1.40,1.33
1.38,1.23,1.41,1.36,1.41,1.41,1.41,1.19,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.34,1.35,1.37,1.39,1.41,1.41,1.41,1.41,1.38,1.41,1.41,1.41
