0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.00,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.21,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.21,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,0.00,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.37,1.41,1.39,1.41,1.36,1.39,1.41,1.38,1.38,1.41,1.39,1.41,1.41,1.38,1.41,1.41,1.41,1.16,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.39,1.38,1.41,1.34,1.41,1.41,1.41,1.41,1.41,1.41,1.22
1.41,1.41,0.00,1.41,1.41,1.29,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,1.41,1.41,0.00,1.30,1.41,1.31,1.41,1.32,1.41,1.41,1.24,1.36,1.41,1.41,1.41,1.35,1.41,1.41,1.41,1.41,1.41,1.27,1.41,1.39,1.41,1.39,1.41,1.37,1.27,1.41,1.41,1.41,1.36,1.31,1.41,1.32,1.41,1.41,1.41,1.41,1.41,1.41,1.36,1.32,1.32,1.41,1.23,1.41,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.33,1.41,1.41
1.41,1.41,1.41,1.30,0.00,1.41,1.32,1.41,1.32,1.41,1.41,1.04,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.34,1.41,1.39,1.41,1.34,1.41,1.37,1.41,1.35,1.41,1.41,1.41,1.38,1.41,1.33,1.41,1.41,1.41,1.41,1.41,1.41,1.27,1.32,1.33,1.33,0.86,1.41,1.41,1.38,1.41,1.41,1.28,1.41,1.41,1.34,1.21,1.41,1.41
1.41,1.41,1.29,1.41,1.41,0.00,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.31,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.31,1.32,1.41,0.00,1.41,1.33,1.41,1.41,1.27,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.35,1.41,1.39,1.41,1.40,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.38,1.41,1.34,1.41,1.41,1.29,1.41,1.41,1.41,1.30,1.33,1.34,1.41,1.26,1.41,1.41,1.39,1.41,1.41,1.41,1.41,1.41,1.41,1.34,1.41,1.41
1.41,1.41,1.41,1.41,1.41,1.41,1.41,0.00,1.41,1.41,1.34,1.41,1.41,1.41,1.41,1.41,1.41,1.36,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.32,1.32,1.41,1.33,1.41,0.00,1.41,1.41,1.27,1.31,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.35,1.41,1.39,1.41,1.35,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.33,1.34,1.34,1.41,1.41,1.41,1.41,1.41,1.41,1.37,1.34,1.34,1.41,1.27,1.41,1.41,1.39,1.41,1.41,1.41,1.32,1.41,1.41,1.35,1.41,1.41
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,0.00,1.29,1.41,1.37,1.41,1.41,1.41,1.32,1.41,1.41,1.33,1.41,1.41,1.41,1.41,1.41,1.41,1.38,1.41,1.41,1.41,1.36,1.41,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.36,1.41,1.41,1.41,1.36,1.41,1.33,1.41
1.41,1.37,1.41,1.41,1.41,1.41,1.41,1.34,1.41,1.29,0.00,1.41,1.41,1.41,1.30,1.38,1.41,1.36,1.37,1.30,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.37,1.41,1.41,1.41,1.41,1.37,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.29,1.41,1.41,1.41,1.33,1.41,1.35,1.41,1.41,1.41
1.41,1.41,1.41,1.24,1.04,1.41,1.27,1.41,1.27,1.41,1.41,0.00,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.31,1.41,1.39,1.41,1.39,1.41,1.38,1.41,1.41,1.41,1.41,1.41,1.38,1.41,1.28,1.41,1.41,1.41,1.41,1.41,1.41,1.24,1.33,1.28,1.34,0.73,1.41,1.41,1.39,1.41,1.41,1.28,1.41,1.41,1.41,1.13,1.41,1.37
