0,1,2,3,4,5,6
1.0,1.06,1.08,1.14,1.18,1.2,1.21
1.0,1.16,1.23,1.26,1.28,1.32,1.32
1.0,1.17,1.3,1.3,1.31,1.32,1.32
1.0,1.12,1.15,1.28,1.3,1.3,1.31
1.0,1.18,1.29,1.3,1.31,1.32,1.32
0.0,1.0,1.02,1.03,1.05,1.06,1.08
0.0,1.0,1.19,1.2,1.25,1.27,1.29
1.0,1.32,1.32,1.33,1.34,1.34,1.34
1.0,1.2,1.26,1.29,1.3,1.3,1.3
0.9,0.97,1.0,1.01,1.03,1.03,1.03
0.0,1.0,1.26,1.27,1.3,1.31,1.31
1.0,1.14,1.24,1.31,1.31,1.32,1.33
0.82,1.0,1.02,1.17,1.22,1.24,1.24
1.0,1.34,1.34,1.35,1.35,1.35,1.35
1.0,1.21,1.24,1.31,1.31,1.31,1.32
1.0,1.25,1.25,1.29,1.32,1.33,1.34
1.0,1.0,1.22,1.27,1.27,1.29,1.3
0.0,1.0,1.3,1.33,1.34,1.34,1.35
1.0,1.11,1.22,1.23,1.23,1.26,1.27
1.0,1.29,1.31,1.31,1.31,1.31,1.32
1.0,1.13,1.19,1.29,1.31,1.35,1.35
1.0,1.19,1.21,1.25,1.25,1.33,1.33
0.0,0.69,0.69,0.93,0.96,1.0,1.09
0.66,1.0,1.03,1.15,1.15,1.19,1.21
1.0,1.28,1.29,1.3,1.31,1.31,1.31
1.0,1.22,1.28,1.28,1.29,1.31,1.31
0.0,1.0,1.2,1.28,1.29,1.31,1.31
1.0,1.1,1.19,1.22,1.28,1.29,1.3
1.0,1.25,1.28,1.32,1.33,1.34,1.35
1.0,1.02,1.02,1.15,1.15,1.23,1.25
1.0,1.19,1.22,1.24,1.26,1.28,1.29
1.0,1.26,1.27,1.32,1.32,1.32,1.33
0.94,1.0,1.11,1.15,1.16,1.18,1.18
0.74,1.0,1.02,1.11,1.22,1.24,1.25
1.0,1.09,1.2,1.23,1.24,1.24,1.26
1.0,1.29,1.31,1.31,1.31,1.31,1.31
1.0,1.19,1.2,1.23,1.23,1.26,1.27
1.0,1.1,1.1,1.21,1.24,1.26,1.28
1.0,1.29,1.3,1.32,1.32,1.34,1.34
1.0,1.29,1.31,1.31,1.35,1.35,1.35
1.0,1.15,1.31,1.33,1.33,1.33,1.33
0.68,0.81,1.0,1.16,1.2,1.24,1.25
1.0,1.24,1.26,1.28,1.28,1.3,1.3
1.0,1.3,1.3,1.34,1.34,1.35,1.36
1.0,1.29,1.3,1.31,1.31,1.31,1.35
1.0,1.25,1.28,1.28,1.29,1.31,1.32
1.0,1.19,1.27,1.28,1.29,1.3,1.3
1.0,1.14,1.24,1.25,1.25,1.26,1.3
1.0,1.18,1.23,1.24,1.25,1.25,1.26
1.0,1.3,1.3,1.34,1.34,1.34,1.34
0.0,1.0,1.18,1.2,1.24,1.24,1.24
1.0,1.28,1.28,1.3,1.31,1.32,1.32
1.0,1.21,1.22,1.24,1.24,1.26,1.27
1.0,1.29,1.32,1.33,1.33,1.34,1.34
1.0,1.22,1.29,1.29,1.29,1.29,1.31
1.0,1.25,1.28,1.29,1.3,1.31,1.31
1.0,1.16,1.41,1.41,1.41,1.41,1.41
1.0,1.26,1.27,1.27,1.27,1.28,1.29
1.0,1.3,1.31,1.32,1.33,1.34,1.34
1.0,1.14,1.18,1.18,1.22,1.25,1.41
1.0,1.23,1.31,1.31,1.32,1.32,1.32
1.0,1.2,1.24,1.28,1.28,1.31,1.32
1.0,1.24,1.24,1.25,1.25,1.26,1.27
0.98,1.0,1.07,1.19,1.2,1.26,1.3
1.0,1.29,1.29,1.29,1.31,1.31,1.32
1.0,1.18,1.25,1.27,1.31,1.32,1.33
1.0,1.26,1.27,1.28,1.32,1.32,1.33
1.0,1.28,1.3,1.31,1.35,1.35,1.35
1.0,1.3,1.33,1.33,1.34,1.34,1.35
1.0,1.28,1.28,1.29,1.29,1.29,1.3
0.4,1.0,1.3,1.3,1.31,1.32,1.33
