0,1,2,3,4,5,6,7,8,9,10
1.16,1.21,1.22,1.25,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.16,1.21,1.29,1.33,1.34,1.36,1.36,1.37,1.37,1.38,1.38
1.24,1.3,1.32,1.32,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.2,1.22,1.24,1.25,1.28,1.28,1.3,1.31,1.31,1.31,1.32
0.85,1.04,1.17,1.25,1.25,1.29,1.29,1.31,1.33,1.34,1.35
1.24,1.28,1.34,1.37,1.37,1.38,1.38,1.38,1.38,1.39,1.41
1.22,1.29,1.29,1.3,1.3,1.33,1.33,1.33,1.33,1.33,1.34
1.23,1.33,1.34,1.34,1.35,1.36,1.36,1.37,1.38,1.41,1.41
1.31,1.31,1.32,1.32,1.33,1.34,1.35,1.35,1.35,1.35,1.35
1.12,1.31,1.32,1.32,1.35,1.35,1.37,1.37,1.37,1.37,1.37
1.3,1.31,1.32,1.33,1.33,1.34,1.34,1.34,1.35,1.35,1.36
0.75,1.04,1.11,1.23,1.25,1.25,1.28,1.29,1.29,1.31,1.31
1.24,1.28,1.29,1.3,1.32,1.32,1.34,1.34,1.35,1.36,1.37
1.3,1.31,1.35,1.36,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.33,1.34,1.34,1.34,1.35,1.35,1.35,1.35,1.36,1.36,1.36
1.33,1.33,1.34,1.36,1.36,1.37,1.37,1.37,1.37,1.37,1.38
1.24,1.29,1.29,1.31,1.31,1.31,1.32,1.33,1.34,1.34,1.35
1.28,1.34,1.36,1.36,1.36,1.36,1.37,1.37,1.37,1.38,1.38
1.23,1.31,1.33,1.35,1.35,1.36,1.36,1.37,1.37,1.37,1.37
1.29,1.3,1.31,1.33,1.34,1.35,1.36,1.36,1.37,1.37,1.37
1.24,1.33,1.35,1.36,1.37,1.37,1.38,1.38,1.39,1.39,1.39
1.18,1.24,1.32,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.25,1.28,1.32,1.33,1.33,1.35,1.36,1.36,1.36,1.36,1.36
1.29,1.3,1.32,1.34,1.35,1.35,1.36,1.37,1.37,1.38,1.38
1.36,1.37,1.37,1.37,1.37,1.38,1.39,1.39,1.39,1.39,1.39
1.37,1.37,1.38,1.38,1.39,1.39,1.41,1.41,1.41,1.41,1.41
1.3,1.33,1.34,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.36
1.16,1.28,1.3,1.3,1.31,1.33,1.36,1.37,1.37,1.38,1.39
1.34,1.37,1.37,1.37,1.38,1.38,1.39,1.39,1.39,1.39,1.39
1.28,1.3,1.37,1.37,1.38,1.38,1.38,1.39,1.39,1.39,1.39
1.31,1.35,1.37,1.37,1.38,1.38,1.38,1.39,1.39,1.39,1.39
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.31,1.32,1.33,1.34,1.37,1.41,1.41,1.41,1.41,1.41,1.41
1.25,1.28,1.29,1.29,1.31,1.31,1.31,1.35,1.35,1.36,1.36
1.28,1.31,1.31,1.34,1.34,1.35,1.36,1.37,1.37,1.37,1.37
1.22,1.32,1.34,1.35,1.36,1.37,1.37,1.38,1.38,1.38,1.39
1.23,1.31,1.31,1.32,1.32,1.35,1.35,1.35,1.35,1.36,1.36
1.31,1.32,1.33,1.33,1.35,1.35,1.36,1.36,1.38,1.38,1.39
1.28,1.3,1.34,1.35,1.35,1.37,1.38,1.39,1.39,1.39,1.39
1.29,1.3,1.32,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.29,1.31,1.35,1.35,1.36,1.41,1.41,1.41,1.41,1.41,1.41
1.35,1.36,1.36,1.37,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.18,1.33,1.34,1.36,1.36,1.37,1.37,1.38,1.38,1.38,1.39
1.15,1.19,1.23,1.25,1.29,1.3,1.33,1.33,1.34,1.35,1.36
1.2,1.23,1.28,1.29,1.3,1.31,1.31,1.33,1.34,1.34,1.34
1.31,1.31,1.31,1.32,1.33,1.33,1.34,1.34,1.34,1.35,1.35
1.06,1.21,1.29,1.29,1.3,1.33,1.34,1.35,1.35,1.36,1.37
0.75,0.85,1.01,1.15,1.15,1.21,1.24,1.29,1.29,1.29,1.31
1.36,1.37,1.37,1.37,1.38,1.38,1.38,1.38,1.38,1.38,1.39
1.35,1.36,1.37,1.38,1.38,1.39,1.39,1.39,1.39,1.39,1.4
1.3,1.3,1.32,1.35,1.35,1.36,1.36,1.36,1.36,1.36,1.36
1.37,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.21,1.34,1.34,1.34,1.35,1.36,1.37,1.37,1.37,1.38,1.38
1.15,1.25,1.25,1.33,1.35,1.36,1.36,1.37,1.37,1.41,1.41
1.24,1.31,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.37,1.37
1.28,1.33,1.38,1.39,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.35,1.36,1.37,1.37,1.37,1.37,1.37,1.38,1.38,1.38,1.38
1.01,1.06,1.11,1.17,1.23,1.28,1.29,1.3,1.33,1.33,1.34
1.32,1.32,1.34,1.34,1.36,1.36,1.37,1.38,1.38,1.38,1.38
1.21,1.28,1.28,1.34,1.35,1.36,1.36,1.37,1.37,1.37,1.37
1.3,1.31,1.35,1.36,1.37,1.37,1.37,1.37,1.38,1.38,1.38
1.31,1.34,1.37,1.37,1.39,1.41,1.41,1.41,1.41,1.41,1.41
1.12,1.31,1.32,1.33,1.35,1.36,1.36,1.37,1.37,1.37,1.37
