0,1,2,3,4,5,6,7,8,9,10
0,27,26,25,24,23,22,21,20,19,18
16,11,6,26,20,0,7,27,1,25,24
26,8,0,27,25,24,23,22,21,20,19
27,16,13,10,24,1,2,12,20,9,28
27,28,19,2,12,24,13,16,23,1,20
1,0,27,26,25,24,23,22,21,20,19
27,9,2,12,24,1,13,16,28,20,19
18,0,27,26,25,24,23,22,21,20,19
24,27,2,12,13,16,1,20,28,23,18
1,18,19,3,20,0,26,8,21,27,25
1,26,20,6,18,0,19,27,25,24,23
27,12,24,2,13,16,1,20,28,23,18
0,20,11,5,29,28,16,6,13,19,9
0,27,26,25,24,23,22,21,20,18,17
20,7,26,6,28,0,27,25,24,23,22
6,0,26,21,20,27,25,24,23,22,19
13,5,1,29,16,26,9,24,18,22,21
11,5,1,27,26,25,24,23,22,21,20
6,0,1,13,2,21,20,27,25,24,23
20,1,0,27,26,25,24,23,22,21,19
0,27,26,25,24,23,22,21,20,19,18
27,26,25,24,23,22,21,20,19,18,17
16,27,13,1,2,24,23,21,12,28,9
11,0,1,27,26,24,23,22,21,20,19
28,29,5,16,27,20,2,23,25,24,17
2,0,27,26,25,24,23,22,21,20,19
19,5,6,13,14,28,24,9,29,27,2
11,22,0,27,26,25,24,23,21,20,19
1,16,2,27,20,28,26,25,24,23,22
22,0,6,21,5,19,14,8,1,26,25
