0,1,2,3,4,5,6
377,507,546,204,513,156,105
377,159,346,373,490,481,238
377,325,563,158,107,390,480
377,81,177,332,447,324,493
377,443,132,128,407,246,47
308,377,29,9,275,480,495
6,377,562,411,15,567,180
377,19,16,348,52,345,412
377,513,143,493,550,503,10
480,447,377,495,308,5,23
10,377,124,145,8,490,36
377,256,52,231,129,104,588
141,377,33,171,462,159,129
377,532,408,365,23,584,437
377,158,305,557,128,96,50
377,498,6,198,416,126,390
336,377,375,52,77,428,231
17,377,333,158,305,435,81
377,32,465,389,234,455,176
377,529,50,60,200,16,73
377,244,153,449,311,281,482
377,284,222,559,564,30,246
22,442,217,538,241,377,412
480,377,9,308,5,275,408
377,389,257,462,33,141,565
377,121,445,467,335,302,300
26,377,344,413,590,560,359
377,186,381,363,481,542,48
377,239,30,182,198,266,388
377,308,5,225,408,495,9
377,488,479,564,542,28,150
377,382,136,484,320,475,247
465,377,18,215,257,176,260
141,377,12,171,129,9,447
377,367,395,81,216,470,422
377,384,93,552,50,200,359
377,346,340,162,372,490,210
377,103,259,172,583,106,353
377,389,95,565,404,257,30
377,44,69,111,597,282,313
377,347,559,145,417,411,407
113,119,377,578,588,104,48
377,178,549,384,313,235,109
377,30,150,178,293,591,272
377,39,192,126,71,587,135
377,158,480,305,525,23,135
377,346,393,150,278,182,334
377,255,445,466,120,117,279
377,381,113,336,119,41,399
377,303,58,525,208,581,99
200,377,159,221,134,350,202
377,543,354,178,564,577,346
377,164,336,256,11,111,16
377,510,572,201,14,263,107
377,291,200,50,459,241,353
377,123,142,227,589,67,559
377,292,379,397,398,399,400
377,479,101,372,210,98,462
377,49,423,165,561,413,479
377,327,213,543,169,97,404
377,339,19,534,160,222,404
377,181,293,511,568,436,493
377,230,590,251,304,560,522
92,377,492,237,309,574,531
377,103,259,105,127,415,195
377,389,130,284,474,157,524
377,99,9,447,33,141,170
377,544,408,55,514,29,208
377,36,229,581,289,9,447
377,357,511,542,346,227,160
91,377,359,72,277,125,352
377,487,365,166,44,306,130
377,91,70,277,449,316,573
377,484,332,172,226,19,3
377,258,386,171,300,231,228
377,50,157,200,518,480,540
377,478,80,529,85,523,526
377,336,375,16,231,48,52
377,52,336,173,16,363,412
377,448,244,130,110,317,26
377,76,478,572,529,241,229
377,3,34,177,367,482,132
22,442,217,538,241,377,412
377,224,502,241,558,363,388
377,132,427,310,307,564,141
377,526,523,121,282,76,367
377,509,286,301,512,147,407
516,377,9,275,150,480,46
377,343,379,127,120,154,583
377,47,145,466,445,120,117
377,347,354,559,428,182,282
70,377,359,72,277,125,352
63,377,309,234,574,216,413
93,377,35,408,407,406,405
377,458,397,541,536,335,315
377,38,508,61,127,378,363
377,592,474,353,282,220,37
377,302,59,336,16,124,52
101,377,449,340,372,210,99
377,101,98,66,372,210,173
377,597,577,103,259,272,289
98,377,449,340,372,210,99
377,165,135,272,378,9,132
259,377,592,559,340,37,172
377,588,113,119,41,212,578
377,0,178,64,24,182,568
377,583,37,283,133,496,172
377,241,2,531,233,560,35
377,171,33,141,447,9,315
377,463,42,298,178,549,255
377,359,130,125,226,448,120
377,455,164,52,313,489,39
377,346,50,200,501,594,228
41,119,377,578,588,104,48
377,494,351,532,345,226,491
377,211,484,581,223,599,348
377,347,559,184,55,92,339
377,466,389,455,47,18,445
377,314,469,199,182,568,409
113,41,377,578,588,104,48
377,47,88,445,466,465,364
377,85,282,25,526,488,523
377,132,172,38,404,278,219
377,55,142,468,591,474,575
377,550,10,467,146,291,188
416,377,359,110,162,91,513
377,192,173,44,228,390,15
377,207,88,363,64,508,241
377,4,14,557,92,459,313
377,141,231,33,12,256,171
377,193,407,65,244,79,487
377,542,592,242,506,355,502
377,219,246,564,443,122,141
377,401,581,467,583,283,106
377,293,50,200,182,266,221
377,102,480,141,33,462,9
377,214,22,82,217,442,31
140,215,377,257,32,432,269
377,171,141,441,33,12,129
377,193,598,340,278,460,265
137,215,377,257,32,432,269
33,12,377,171,129,159,500
377,123,55,290,525,54,256
377,513,590,395,8,473,227
377,460,179,212,194,228,464
377,347,490,481,346,238,556
377,592,473,124,223,182,205
377,582,589,200,50,228,86
377,481,199,409,301,533,118
377,206,152,459,469,189,538
377,46,30,516,87,52,43
377,490,346,481,238,556,54
377,181,149,318,344,459,390
377,20,418,248,525,244,504
377,541,400,351,468,591,471
377,275,546,465,191,542,488
377,0,581,467,338,346,507
377,293,505,172,426,75,454
305,563,377,254,14,444,45
377,141,1,500,200,50,373
377,69,579,597,60,303,359
377,291,245,146,124,397,398
377,173,36,359,125,99,255
377,182,266,467,400,503,424
377,52,111,227,378,280,145
377,102,272,58,243,423,413
377,347,487,71,130,330,90
377,466,279,281,451,226,597
377,542,412,488,480,417,332
377,59,580,373,200,50,284
377,288,458,541,272,430,488
377,141,138,33,12,108,74
377,103,259,37,505,583,106
377,162,99,502,542,126,50
377,392,186,27,230,359,299
377,82,22,442,217,430,538
260,299,377,32,18,465,279
377,3,81,192,251,230,62
377,42,175,105,540,51,293
377,596,593,228,36,9,483
377,6,498,411,562,189,220
377,193,61,568,152,598,493
266,342,377,568,467,163,370
377,221,306,582,592,96,487
377,277,268,470,34,116,187
377,209,253,572,573,596,321
377,27,381,363,175,369,48
377,506,106,205,184,268,223
377,171,376,542,131,438,467
377,389,62,455,560,117,327
377,181,488,589,568,55,522
377,349,488,479,155,295,445
377,126,177,400,44,114,518
598,377,562,181,373,487,139
377,542,131,113,506,502,355
377,230,381,522,560,136,448
377,411,296,194,348,265,262
377,557,378,402,413,128,595
377,408,15,28,262,503,595
377,409,277,148,118,583,571
200,377,159,221,134,350,202
377,502,131,542,592,320,350
377,50,200,265,262,253,221
377,158,407,305,30,536,570
377,0,507,300,240,546,557
377,361,358,280,542,469,227
377,223,149,426,574,152,146
377,489,127,417,316,397,398
377,235,481,238,407,384,324
377,410,397,253,110,572,596
377,372,435,101,98,57,36
377,487,223,115,364,253,448
377,447,104,332,485,201,371
377,59,191,535,527,349,155
377,136,470,34,195,575,362
137,140,377,32,257,432,231
377,255,34,463,367,92,293
217,82,22,377,538,241,341
377,538,461,383,296,508,66
377,132,328,471,564,261,404
377,37,592,96,282,310,80
377,200,309,50,246,183,350
377,284,21,424,321,578,130
377,211,206,253,574,348,594
377,234,588,284,454,83,439
377,308,5,29,408,9,447
377,167,110,114,237,73,466
377,492,164,364,264,205,531
377,239,390,466,126,519,179
377,347,234,469,542,182,205
251,377,520,195,62,392,177
377,129,336,215,375,32,77
377,251,380,575,151,392,545
377,340,52,390,210,372,101
377,92,224,18,229,588,216
377,384,583,324,208,313,395
377,393,572,440,278,314,578
377,63,492,338,335,528,538
490,346,481,377,556,568,407
377,28,228,388,200,241,50
377,402,204,384,30,542,360
82,22,377,217,442,538,412
377,131,159,141,483,500,542
377,47,165,232,171,398,335
377,20,130,79,438,448,550
377,238,559,568,253,407,340
377,132,221,284,564,443,210
377,538,22,82,442,217,557
377,153,33,32,216,9,418
377,468,591,474,154,344,123
377,290,22,82,442,217,306
230,392,377,380,520,575,530
377,235,384,313,451,350,167
377,211,223,265,429,281,202
563,377,158,444,305,2,343
377,47,216,463,298,268,569
377,11,52,306,129,231,293
432,377,215,32,137,140,9
377,74,386,578,577,196,231
259,377,592,559,340,37,172
260,299,377,32,18,465,279
377,336,132,375,52,219,16
265,377,193,202,581,348,200
377,200,50,424,159,503,493
377,350,227,50,200,447,368
262,377,193,253,202,348,139
182,377,342,305,568,467,163
377,488,412,132,597,542,564
377,463,184,277,298,255,216
377,275,465,32,495,462,137
377,447,9,408,495,578,33
377,511,339,76,364,61,201
377,328,170,589,471,165,525
377,554,526,488,479,375,511
377,564,34,424,380,481,120
377,495,308,5,462,465,9
377,265,109,549,262,187,4
377,184,268,199,409,470,91
377,340,334,46,139,570,469
377,167,171,299,47,260,176
377,259,103,340,510,592,164
377,167,321,438,253,284,466
377,121,488,479,85,492,350
377,490,346,481,238,556,583
377,222,21,321,389,65,281
377,417,412,216,384,435,34
377,346,442,217,341,479,393
377,592,278,399,146,378,439
377,170,399,482,529,200,50
377,578,577,597,100,51,196
377,525,250,560,301,291,151
377,54,290,151,525,124,241
377,56,136,333,325,417,316
377,134,61,318,216,157,256
377,548,363,191,349,109,447
377,488,479,191,492,282,357
377,477,461,431,196,182,176
377,508,353,322,524,96,37
377,463,255,268,490,216,569
176,260,377,279,381,345,174
377,120,171,25,204,279,589
377,565,290,106,148,425,376
377,97,467,25,124,520,316
377,131,592,542,48,381,49
377,526,62,193,511,298,596
158,377,563,254,266,14,444
377,487,0,366,459,256,183
310,377,220,566,393,339,26
308,377,29,9,275,480,495
377,92,221,63,318,99,246
307,377,437,355,220,566,313
374,377,542,488,449,332,473
377,341,437,283,225,343,278
377,384,235,42,252,111,324
377,472,118,549,223,278,469
377,567,498,6,210,562,94
377,207,384,302,417,292,595
377,587,576,368,365,29,408
377,352,293,152,309,92,538
377,340,117,36,372,101,210
377,331,502,475,540,542,173
377,281,284,359,222,404,355
377,542,456,131,297,506,479
377,368,504,527,578,137,140
377,235,384,208,453,395,553
377,2,6,498,292,562,380
434,377,401,512,521,476,133
377,59,469,189,489,381,454
377,405,219,471,272,367,488
377,397,398,399,400,401,402
377,492,557,324,469,170,488
377,348,320,472,172,488,30
377,447,380,542,488,251,311
377,437,539,17,407,292,390
377,278,46,382,133,200,50
377,458,99,25,393,237,372
377,16,375,77,231,52,48
377,381,48,360,167,466,303
377,382,237,399,156,597,417
377,60,382,365,238,568,149
377,259,103,280,36,238,101
377,442,217,479,312,473,343
182,377,266,568,370,118,247
377,341,88,238,379,283,568
377,26,566,152,456,223,390
377,114,321,299,381,16,567
490,481,238,377,556,393,36
377,559,145,40,90,229,166
377,331,223,115,534,265,262
377,191,527,535,213,550,10
377,481,542,200,50,264,131
377,564,114,494,154,460,33
377,318,200,50,149,538,170
377,96,37,297,431,54,396
377,51,597,578,577,90,449
377,542,131,506,437,194,502
377,76,275,9,517,350,527
377,488,479,410,69,251,295
361,377,205,100,280,208,160
377,513,110,125,416,448,162
377,502,453,542,346,240,488
358,377,205,280,400,100,160
377,306,195,575,214,533,590
377,27,542,186,311,48,294
377,211,227,120,106,223,146
377,587,543,71,317,339,382
377,306,432,459,487,50,200
377,34,216,81,395,85,328
377,557,323,527,29,524,317
377,481,457,186,466,350,555
377,182,342,568,266,247,418
377,412,544,467,593,452,212
377,36,210,101,98,541,57
377,193,159,564,1,598,562
311,377,542,488,450,393,449
377,336,554,77,16,564,231
377,521,512,188,425,301,366
0,396,397,398,399,400,401
377,164,0,272,102,197,52
